day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-12-29,NIFTY_17800_PE,OPTION_PRICE_DROP,SIG_1,1,1,1672285680,1672285800,3.7,4.6,0.9,0.0,Thursday,1,17800_PE,0,SHORT,,,4.07,1.85,60,1,IT,1672285680,True,GAP_DOWN,1,18043.55,0.0,0.0,0.0,0.0,0.0,43.54999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,5.15625,0.04296875,0.21408720964441882,0.0,-1.0,-0.21408720964441882,0.0,-0.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-29 09:18:00
2022-12-29,NIFTY_18200_CE,OPTION_PRICE_DROP,SIG_2,1,1,1672285740,1672286040,3.85,4.45,0.6,0.0,Thursday,1,18200_CE,0,LONG,,,4.235,1.925,60,1,IT,1672285740,True,GAP_DOWN,1,18029.25,0.0,-0.25,0.0,-0.25,-0.25,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,5.15625,0.04296875,0.21408720964441882,0.0,-1.0,-0.21408720964441882,0.0,-0.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-29 09:19:00
2022-12-29,NIFTY_18100_CE,OPTION_PRICE_DROP,SIG_3,1,1,1672285740,1672286040,16.1,17.9,1.8,-0.0,Thursday,1,18100_CE,0,LONG,,,17.710000000000004,8.05,60,1,IT,1672285740,True,GAP_DOWN,1,18029.25,0.0,-0.25,0.0,-0.25,-0.25,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,5.15625,0.04296875,0.21408720964441882,0.0,-1.0,-0.21408720964441882,0.0,-0.04296875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-29 09:19:00
2022-12-29,NIFTY_18100_CE,OPTION_PRICE_DROP,SIG_4,1,1,1672285740,1672286040,16.1,17.9,1.8,-0.0,Thursday,1,18100_CE,0,LONG,,,17.710000000000004,8.05,60,1,IT,1672285740,True,GAP_DOWN,1,18029.25,0.0,-0.25,0.0,-0.25,-0.25,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,5.15625,0.04296875,0.21408720964441882,0.0,-1.0,-0.21408720964441882,0.0,-0.04296875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-29 09:19:00
2022-12-29,NIFTY_18000_CE,OPTION_PRICE_DROP,SIG_5,1,1,1672285740,1672286280,60.6,72.4,11.8,-0.0,Thursday,1,18000_CE,0,LONG,,,66.66000000000001,30.3,60,1,IT,1672285740,True,GAP_DOWN,1,18029.25,0.0,-0.25,0.0,-0.25,-0.25,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,5.15625,0.04296875,0.21408720964441882,0.0,-1.0,-0.21408720964441882,0.0,-0.04296875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-29 09:19:00
2022-12-29,NIFTY_18000_CE,OPTION_PRICE_DROP,SIG_6,1,1,1672285920,1672286280,60.75,72.4,11.65,-0.0,Thursday,1,18000_CE,0,LONG,,,66.825,30.375,60,1,IT,1672285920,True,GAP_DOWN,1,18030.35,0.0,-0.09,0.0,-0.12,0.0,30.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,379.3762500000802,3.161468750000668,1.8363641614162605,0.0,-1.0,-1.8363641614162605,0.0,-3.161468750000668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-29 09:22:00
2022-12-29,NIFTY_17800_PE,OPTION_PRICE_DROP,SIG_7,1,1,1672285980,1672289580,3.75,2.8,-0.95,0.0,Thursday,1,17800_PE,0,SHORT,,,4.125,1.875,60,1,TC,1672285980,True,GAP_DOWN,1,18037.15,0.0,-0.09,0.0,-0.12,0.0,37.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,379.3762500000802,3.161468750000668,1.8363641614162605,0.0,-1.0,-1.8363641614162605,0.0,-3.161468750000668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-29 09:23:00
2022-12-29,NIFTY_18000_CE,OPTION_PRICE_DROP,SIG_8,1,1,1672286100,1672286280,61.05,72.4,11.35,-0.0,Thursday,1,18000_CE,0,LONG,,,67.155,30.525,60,1,IT,1672286100,True,GAP_DOWN,1,18033.65,0.0,-0.19,0.0,-0.25,0.0,33.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,753.2625000001399,6.277187500001165,2.587598629360417,0.0,-0.01,-0.2209072203441571,0.0,-0.045750000000170606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-29 09:25:00
2022-12-29,NIFTY_17700_PE,OPTION_PRICE_DROP,SIG_9,1,1,1672286100,1672289700,1.65,1.0,-0.65,0.0,Thursday,1,17700_PE,0,SHORT,,,1.815,0.825,60,1,TC,1672286100,True,GAP_DOWN,1,18033.65,0.0,-0.19,0.0,-0.25,0.0,33.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,753.2625000001399,6.277187500001165,2.587598629360417,0.0,-0.01,-0.2209072203441571,0.0,-0.045750000000170606,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-29 09:25:00
2022-12-29,NIFTY_18200_CE,OPTION_PRICE_DROP,SIG_10,1,1,1672286220,1672286280,4.05,4.5,0.45,0.0,Thursday,1,18200_CE,0,LONG,,,4.455,2.025,60,1,IT,1672286220,True,GAP_DOWN,1,18040.1,0.0,-0.06,0.0,-0.08,0.0,40.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,753.2625000001399,6.277187500001165,2.587598629360417,0.0,-0.01,-0.2209072203441571,0.0,-0.045750000000170606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,2022-12-29 09:27:00
